train/learning_rate,_timestamp,train/num_tokens,train/global_step,_step,train/loss,train/grad_norm,train/mean_token_accuracy,_runtime,train/epoch,eval/accuracy
0.0001,1765918203.8696976,44045728.0,283.0,282,0.8169364929199219,0.012415285222232342,0.7926542311906815,2082.636162421,0.6066452304394426,
0.0001,1765918212.154548,44207082.0,284.0,283,0.821344792842865,0.012604638002812862,0.7863088995218277,2090.9209977,0.6087888531618435,
0.0001,1765918219.6473756,44360492.0,285.0,284,0.8387614488601685,0.017155200242996216,0.7868746072053909,2098.413871487,0.6109324758842444,
0.0001,1765918226.9069076,44507249.0,286.0,285,0.7811225652694702,0.015611046925187111,0.8012982308864594,2105.673399681,0.6130760986066452,
0.0001,1765918233.9273076,44657380.0,287.0,286,0.8127820491790771,0.021248437464237213,0.7965470105409622,2112.693774013,0.6152197213290461,
0.0001,1765918241.0445201,44809690.0,288.0,287,0.8109453916549683,0.015354215167462826,0.7920278310775757,2119.811006213,0.617363344051447,
0.0001,1765918247.122345,44958006.0,289.0,288,0.7867990732192993,0.02060718834400177,0.7988251745700836,2125.888836076,0.6195069667738478,
0.0001,1765918254.337637,45127484.0,290.0,289,0.8336247801780701,0.015074175782501698,0.7877864092588425,2133.104108472,0.6216505894962486,
0.0001,1765918262.0455549,45288670.0,291.0,290,0.8628844022750854,0.016076885163784027,0.7814314365386963,2140.812042393,0.6237942122186495,
0.0001,1765918267.6451018,45435435.0,292.0,291,0.7973895072937012,0.020044350996613503,0.7949605137109756,2146.411569402,0.6259378349410504,
0.0001,1765918274.6806953,45582758.0,293.0,292,0.8135143518447876,0.023332178592681885,0.7924472540616989,2153.447177257,0.6280814576634512,
0.0001,1765918280.8876297,45724786.0,294.0,293,0.7966063022613525,0.013182803057134151,0.7978427857160568,2159.654085312,0.6302250803858521,
0.0001,1765918287.1233582,45875653.0,295.0,294,0.8058954477310181,0.015883633866906166,0.7960195243358612,2165.889830188,0.632368703108253,
0.0001,1765918293.701961,46026612.0,296.0,295,0.798708975315094,0.017570065334439278,0.7963106781244278,2172.468437077,0.6345123258306538,
0.0001,1765918299.5182734,46173537.0,297.0,296,0.8070425391197205,0.01973223127424717,0.7958019226789474,2178.284756867,0.6366559485530546,
0.0001,1765918307.0576136,46337020.0,298.0,297,0.8405147790908813,0.015599283389747143,0.7865492105484009,2185.824103666,0.6387995712754555,
0.0001,1765918313.700238,46484878.0,299.0,298,0.8273123502731323,0.017678523436188698,0.7926506996154785,2192.466711013,0.6409431939978564,
0.0001,1765918321.093973,46638837.0,300.0,299,0.8228726387023926,0.014840885065495968,0.7879662364721298,2199.860452046,0.6430868167202572,
0.0001,1765918344.1302638,46792654.0,301.0,300,0.815125584602356,0.016618166118860245,0.7925955504179001,2222.896774564,0.6452304394426581,
0.0001,1765918351.0283742,46956735.0,302.0,301,0.8351543545722961,0.012033703736960888,0.7858120799064636,2229.794855573,0.647374062165059,
0.0001,1765918358.6618223,47119017.0,303.0,302,0.8613057136535645,0.01291068084537983,0.7835118770599365,2237.428314692,0.6495176848874598,
0.0001,1765918366.8768306,47277064.0,304.0,303,0.8201357126235962,0.014424892142415047,0.7917946130037308,2245.643312149,0.6516613076098606,
0.0001,1765918374.839281,47425177.0,305.0,304,0.818618655204773,0.014514530077576637,0.7887540310621262,2253.605742354,0.6538049303322615,
0.0001,1765918380.7076952,47567815.0,306.0,305,0.7845116257667542,0.019034873694181442,0.8007806688547134,2259.474149592,0.6559485530546624,
0.0001,1765918387.2081442,47711542.0,307.0,306,0.7748463153839111,0.014135846868157387,0.800279900431633,2265.974598135,0.6580921757770632,
0.0001,1765918394.60939,47867963.0,308.0,307,0.8367888927459717,0.01792009547352791,0.7899935692548752,2273.375844079,0.6602357984994641,
