train/learning_rate,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/grad_norm,train/num_tokens,train/global_step,train/epoch,_step,eval/accuracy
1e-05,0.806495189666748,13594.477821653,1765930149.6091313,0.7271749377250671,0.01243364904075861,62087657.0,399.0,0.8553054662379421,398,
1e-05,0.8013694882392883,13629.403750328,1765930184.5349934,0.7472771406173706,0.01388495322316885,62242685.0,400.0,0.857449088960343,399,
1e-05,0.8132389485836029,13673.313295418,1765930228.4445193,0.6942558884620667,0.013806108385324478,62393085.0,401.0,0.8595927116827439,400,
1e-05,0.8152351975440979,13700.051314144,1765930255.1826706,0.689832329750061,0.013875111937522888,62538285.0,402.0,0.8617363344051447,401,
1e-05,0.8017747104167938,13737.311489019,1765930292.4428358,0.7496706247329712,0.013979420065879822,62701391.0,403.0,0.8638799571275455,402,
1e-05,0.8028697073459625,13777.492480597,1765930332.6238773,0.7388542890548706,0.015563065186142921,62848535.0,404.0,0.8660235798499464,403,
1e-05,0.8069300651550293,13813.118566505,1765930368.2498353,0.7133415937423706,0.013752145692706108,63001586.0,405.0,0.8681672025723473,404,
1e-05,0.8031388819217682,13845.683469968,1765930400.8147395,0.7363778948783875,0.021170349791646004,63162806.0,406.0,0.8703108252947481,405,
1e-05,0.8025312125682831,13875.169208727,1765930430.3004744,0.7330433130264282,0.01322009228169918,63324619.0,407.0,0.872454448017149,406,
1e-05,0.8000470101833344,13908.254844233,1765930463.3860505,0.7452610731124878,0.012770289555191994,63484446.0,408.0,0.8745980707395499,407,
1e-05,0.7932364046573639,13948.472461888,1765930503.6037006,0.7665719985961914,0.012851166538894176,63657343.0,409.0,0.8767416934619507,408,
1e-05,0.7928671538829803,13986.325618293,1765930541.4569561,0.7812669277191162,0.01492028683423996,63815011.0,410.0,0.8788853161843515,409,
1e-05,0.8100764155387878,14024.009880329,1765930579.141138,0.7058720588684082,0.01659812405705452,63974464.0,411.0,0.8810289389067524,410,
1e-05,0.8089360892772675,14060.898214445,1765930616.0296292,0.7217945456504822,0.01559030544012785,64130517.0,412.0,0.8831725616291533,411,
1e-05,0.8086025416851044,14091.062932503,1765930646.1942918,0.7184578776359558,0.018588479608297348,64283106.0,413.0,0.8853161843515541,412,
1e-05,0.8082036077976227,14124.705760829,1765930679.8371458,0.7127781510353088,0.012919566594064236,64430594.0,414.0,0.887459807073955,413,
1e-05,0.7949740290641785,14160.275400062,1765930715.4068139,0.767056941986084,0.013625121675431728,64603713.0,415.0,0.8896034297963559,414,
1e-05,0.8034174740314484,14196.966391464,1765930752.0977957,0.7368301153182983,0.01299179159104824,64760293.0,416.0,0.8917470525187567,415,
1e-05,0.8046309351921082,14227.253532322,1765930782.3848798,0.7333565950393677,0.013301519677042961,64923933.0,417.0,0.8938906752411575,416,
1e-05,0.7983013987541199,14264.674202402,1765930819.805443,0.7591632008552551,0.01656799204647541,65087097.0,418.0,0.8960342979635584,417,
